REQ_ID,FEATURE,REQUIREMENT_TEXT
REQ-001,Session Setup,User can open Firefox browser for test execution
REQ-002,Navigation,User can navigate to the sign in page
REQ-003,Navigation,Sign in page should be opened after navigation
REQ-004,Authentication,User can sign in with email and password credentials
REQ-005,Authentication,Error notification should be shown when sign in credentials are invalid
REQ-006,Registration,User can sign up with first name last name username email and password
REQ-007,Registration,Registration result notification should show successful status
REQ-008,UI Validation,Email Address textbox should be visible on sign in form
REQ-009,UI Validation,Password textbox should accept user input value
REQ-010,UI Validation,Remember Me checkbox should be visible and clickable
REQ-011,UI Validation,Sign Up text should be clickable from sign in page
REQ-012,Modal Validation,Logout message box should be visible before leaving session
REQ-013,Notification Validation,Registration failed notification title should contain error text
REQ-014,Navigation,Main learning page should be opened after successful login
REQ-015,Search Coverage,System should support filtering leaderboard by this week and this month
