KEYWORD_NAME,TAG_TYPE,MODULE,SOURCE_FILE,DOCUMENTATION,ARGUMENTS,NORMALIZED_TEXT
Click Button,Unknown,Common,Resource/Common/button.resource,Click a button locator by logical name.,${NAME},click button click button locator by logical name name
Click Button At Index,Unknown,Common,Resource/Common/button.resource,Click a button locator using an index for repeated selectors.,${NAME}    ${INDEX},click button at index click button locator index repeated selectors name index
Button Should Be Visible,Unknown,Common,Resource/Common/button.resource,Assert that a button locator is visible.,${NAME},button visible assert that button locator visible name
Set Checkbox To State,Unknown,Common,Resource/Common/checkbox.resource,Set checkbox to target state (checked/unchecked). Only clicks if state needs to change.,${NAME}    ${STATE},set checkbox state set checkbox target state checked unchecked only clicks if state needs change name state
Checkbox Should Be Visible,Unknown,Common,Resource/Common/checkbox.resource,Assert that a checkbox locator is visible.,${NAME},checkbox visible assert that checkbox locator visible name
Click Checkbox,Unknown,Common,Resource/Common/checkbox.resource,Click a checkbox locator by logical name.,${NAME},click checkbox click checkbox locator by logical name name
Verify If The Checkbox Status Is State,Unknown,Common,Resource/Common/checkbox.resource,Check the checkbox if it is in the target state (checked/unchecked).,${NAME}    ${TARGET_STATE},verify if checkbox status state check checkbox if it in target state checked unchecked name target state
Checkbox State Should Be,Unknown,Common,Resource/Common/checkbox.resource,Assert checkbox state equals expected value (checked/unchecked).,${NAME}    ${EXPECTED_STATE},checkbox state assert checkbox state equals expected value checked unchecked name expected state
Close Browser Session,Unknown,Common,Resource/Common/common.resource,Close active browser session if one exists.,,close browser session close active browser session if one exists
Navigate To Page,Unknown,Common,Resource/Common/common.resource,Navigate to a page by alias and load matching locator map.,${PAGE},navigate page navigate page by alias load matching locator map page
Validate Page Is Opened,Unknown,Common,Resource/Common/common.resource,Load locators for page alias and validate root visibility.,${PAGE},validate page opened load locators page alias validate root visibility page
Validate Current Page Categories,Unknown,Common,Resource/Common/common.resource,Validate that non-empty locators in selected categories are visible.,@{CATEGORIES},validate current page categories validate that non empty locators in selected categories visible categories
Scroll Into Element,Unknown,Common,Resource/Common/common.resource,Scroll to a category element by name.,${NAME},scroll into element scroll category element by name name
Wait for Second,Unknown,Common,Resource/Common/common.resource,Wait for a specified number of seconds.,${SECONDS},wait second wait specified number seconds seconds
Click Link,Unknown,Common,Resource/Common/link.resource,Click a link locator by logical name.,${NAME},click link click link locator by logical name name
Link Should Be Visible,Unknown,Common,Resource/Common/link.resource,Assert that a link locator is visible.,${NAME},link visible assert that link locator visible name
Link Should Contain Text,Unknown,Common,Resource/Common/link.resource,Assert that a link locator contains expected text.,${NAME}    ${EXPECTED_TEXT},link contain text assert that link locator contains expected text name expected text
Click List Item At Index,Unknown,Common,Resource/Common/list.resource,Click a list locator using an index. Supports both {index} placeholders and nth-based selection.,${NAME}    ${INDEX},click list item at index click list locator index supports both index placeholders nth based selection name index
List Should Be Visible,Unknown,Common,Resource/Common/list.resource,Assert that a list locator is visible.,${NAME},list visible assert that list locator visible name
List Item Count Should Be At Least Items,Unknown,Common,Resource/Common/list.resource,Assert that list locator has at least expected item count.,${NAME}    ${MIN_COUNT}=1,list item count at least items assert that list locator has at least expected item count name min count 1
Messagebox Should Be Visible,Unknown,Common,Resource/Common/messagebox.resource,Assert that a messagebox locator is visible.,${NAME},messagebox visible assert that messagebox locator visible name
Messagebox Should Not Be Visible,Unknown,Common,Resource/Common/messagebox.resource,Assert that a messagebox locator is not visible.,${NAME},messagebox not visible assert that messagebox locator not visible name
Messagebox Should Contain Text,Unknown,Common,Resource/Common/messagebox.resource,Assert messagebox text contains expected content.,${NAME}    ${EXPECTED_TEXT},messagebox contain text assert messagebox text contains expected content name expected text
Notification Should Be Visible,Unknown,Common,Resource/Common/notification.resource,Assert that a notification locator is visible.,${NAME},notification visible assert that notification locator visible name
Notification Should Not Be Visible,Unknown,Common,Resource/Common/notification.resource,Assert that a notification locator is not visible.,${NAME},notification not visible assert that notification locator not visible name
Notification Should Contain Text,Unknown,Common,Resource/Common/notification.resource,Assert notification text contains expected content.,${NAME}    ${EXPECTED_TEXT},notification contain text assert notification text contains expected content name expected text
Page Should Be Ready,Unknown,Common,Resource/Common/page.resource,Validate the specified page is opened.,${PAGE},page ready validate specified page opened page
Go To Page,Unknown,Common,Resource/Common/page.resource,Navigate to the specified page and validate it is opened.,${PAGE},go page navigate specified page validate it opened page
Normalize Theme Mode,Unknown,Common,Resource/Common/page.resource,Normalize theme aliases to canonical values: dark or light.,${MODE},normalize theme mode normalize theme aliases canonical values dark light mode
Get Current Page Theme,Unknown,Common,Resource/Common/page.resource,Return current page theme directly from html classList.,,get current page theme return current page theme directly from html classlist
Try Click Theme Toggle,Unknown,Common,Resource/Common/page.resource,Try clicking a theme toggle quickly without long generic waits.,${BUTTON_NAME},try click theme toggle try clicking theme toggle quickly without long generic waits button name
Set Page Theme To Desired Choice,Unknown,Common,Resource/Common/page.resource,Set page theme to desired state with a simple primary/secondary toggle click.,${DESIRED_MODE},set page theme desired choice set page theme desired state simple primary secondary toggle click desired mode
